Board pretreatment and punching,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,none contains gemtree FRP board,none contains gypsum board,none contains promatect HBoard,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Lysaght Bondek,
2D panel assembly ,Corrugated profile,Corrugated profile,Composite floor slab,Shear stud,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,Composite floor slab,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,,,,
Butt weld and fillet weld,Welding Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,
3D assembly,2D panel,Corner Casting,Steel Column,Steel Angle,Shear stud,CandleLoc System,Steel ceiling beam,Steel Purlins,Steel floor beam,space contains shear Stud,space contains steel ceiling beam,Corner Casting,Steel Column,Steel Angle,Corner Casting,Steel Column,Steel Angle,,
Apply fire paint at strucutral member,3D steel frame,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,
Rebar Fixing,Spacer,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair
Pouring Concrete,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,,
Door ironmongery and windows installation,Door Ironmongery,Aluminium Window,FRP Timber Door,Non-FRP Timber Door,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches
Door and window frame installation,Aluminium Cladding,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Hardwood Solid Core Flush Doors,Door threshold,Acoustic Insulation,Overhead Door Closer,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Door threshold,Acoustic Insulation,Overhead Door Closer,
Installation of gypsum board at wall surface,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,wall system contains gypsum board,wall system contains laminates,wall system contains finishings,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates
